ear,head_pose,mouth_ratio,label,source
0.302515,0.045651,0.011567,0,Bored
0.32789,0.050879,0.014141,0,Bored
0.32263,0.042492,0.0079,0,Bored
0.319343,0.040233,0.013432,0,Bored
0.320548,0.038102,0.009367,0,Bored
0.31849,0.044444,0.004549,0,Bored
0.317192,0.044339,0.00536,0,Bored
0.314979,0.043205,0.004793,0,Bored
0.32293,0.049131,0.008074,0,Bored
0.333722,0.057265,0.010991,0,Bored
0.321018,0.050469,0.011299,0,Bored
0.327639,0.051447,0.015645,0,Bored
0.324112,0.048925,0.01153,0,Bored
0.319361,0.047171,0.008753,0,Bored
0.329375,0.052639,0.002975,0,Bored
0.326322,0.048655,0.008204,0,Bored
0.324215,0.046855,0.006695,0,Bored
0.334578,0.045286,0.01215,0,Bored
0.322614,0.033402,0.009571,0,Bored
0.324569,0.039747,0.009449,0,Bored
0.319851,0.037932,0.00626,0,Bored
0.313407,0.037204,0.001489,0,Bored
0.325099,0.036741,0.009573,0,Bored
0.312169,0.033386,0.009058,0,Bored
0.321479,0.031691,0.003736,0,Bored
0.322555,0.037591,0.003948,0,Bored
0.315327,0.032056,0.019619,0,Bored
0.321103,0.038012,0.007529,0,Bored
0.312781,0.037763,0.004788,0,Bored
0.316083,0.037243,0.007804,0,Bored
0.32183,0.037591,0.007646,0,Bored
0.32464,0.032099,0.010614,0,Bored
0.318248,0.038564,0.003549,0,Bored
0.32178,0.040709,0.00728,0,Bored
0.311745,0.033183,0.006295,0,Bored
0.314751,0.039629,0.002741,0,Bored
0.320186,0.034068,0.001203,0,Bored
0.322464,0.036856,0.002006,0,Bored
0.322875,0.040594,0.006064,0,Bored
0.319275,0.036956,0.001186,0,Bored
0.299558,0.043501,0.002842,0,Bored
0.125035,0.031235,0.002969,0,Bored
0.09541,0.033756,0.0097,0,Bored
0.078891,0.045088,0.007042,0,Bored
0.122936,0.048736,0.0098,0,Bored
0.151138,0.041738,0.008101,0,Bored
0.150394,0.040457,0.006854,0,Bored
0.180855,0.032848,0.002826,0,Bored
0.166727,0.024118,0.000735,0,Bored
0.150795,0.023089,0.004218,0,Bored
0.060147,0.020107,0.006595,0,Bored
0.025368,0.029848,0.006006,0,Bored
0.029256,0.029151,0.008886,0,Bored
0.03005,0.021951,0.008365,0,Bored
